Ort,Datum,Mindestangabe Teilnehmerzahl,Höchstangabe Teilnehmerzahl,Link zum Bericht
Berlin,12.01.2024,350.0,,https://www.tagesspiegel.de/berlin/wir-brauchen-ein-afd-verbot-350-teilnehmer-bei-kundgebung-in-berlin--weitere-demonstration-am-sonntag-11040754.html
Darmstadt,12.01.2024,500.0,600.0,https://www.fr.de/rhein-main/darmstadt/demonstration-gegen-die-afd-in-darmstadt-92772702.html
Hamburg,12.01.2024,1700.0,2500.0,https://www.spiegel.de/panorama/gesellschaft/afd-geheimtreffen-rund-2000-menschen-demonstrieren-in-hamburg-gegen-rechts-a-7828dba0-d30d-4426-aa03-66b46cf61b95
Duisburg,13.01.2024,2400.0,,https://www.rundschau-online.de/politik/demo-gegen-afd-1000-menschen-protestieren-in-duisburg-gegen-neujahrsempfang-718252
Düsseldorf,13.01.2024,650.0,,https://www1.wdr.de/nachrichten/protest-gegen-afd-debatte-100.html
Landau,13.01.2024,250.0,500.0,"https://www.rheinpfalz.de/lokal/pfalz-ticker_artikel,-nach-afd-geheimtreffen-demo-gegen-rechts-auf-dem-stiftsplatz-_arid,5599692.html"
Augsburg,14.01.2024,700.0,,https://www.augsburger-allgemeine.de/augsburg/augsburg-anti-afd-demo-auf-dem-rathausplatz-id69084621.html
Berlin,14.01.2024,25000.0,,https://www.tagesspiegel.de/berlin/demokratie-verteidigen-kundgebung-gegen-die-afd-am-brandenburger-tor-mit-grossem-zulauf-11049475.html
Dresden,14.01.2024,1000.0,2000.0,https://www.dnn.de/lokales/dresden/dd1401-demo-dresden-knapp-2000-menschen-gegen-afd-plaene-auf-der-strasse-IIM5AVNOVFEH3M6G5VV3GVAF5Y.html
Flensburg,14.01.2024,200.0,,https://www.shz.de/lokales/flensburg/galerie/bildergalerie-in-der-eiskalten-foerde-500-unerschrockene-beim-baden-ge-46265446
Kiel,14.01.2024,7000.0,8000.0,https://www.zeit.de/news/2024-01/14/tausende-demonstrieren-gegen-afd-und-rechtsextremismus
Potsdam,14.01.2024,10000.0,,https://www.maz-online.de/lokales/potsdam/nach-geheimtreffen-in-villa-adlon-scholz-baerbock-und-tausende-potsdamer-bei-demo-gegen-rechts-OD3H777OMNE53GWS7Q5DTUB6H4.html
Saarbrücken,14.01.2024,5000.0,,https://www.sr.de/sr/home/nachrichten/politik_wirtschaft/demos_saarbruecken_gegen_faschismus_100.html
Dessau-Roßlau,15.01.2024,200.0,,https://www.mz.de/lokal/dessau-rosslau/afd-gegendemo-dessau-nazifrei-protest-parteibuero-remigration-potsdam-3767581
Essen,15.01.2024,6700.0,,https://www.radioessen.de/artikel/demo-in-essen-fuer-ein-verbot-der-afd-1874268.html
Leipzig,15.01.2024,6000.0,10000.0,https://www.mdr.de/nachrichten/sachsen/leipzig/leipzig-leipzig-land/demo-gegen-afd-rechtsextremismus-100.html
Rostock,15.01.2024,2500.0,,"https://www.ndr.de/nachrichten/mecklenburg-vorpommern/Aufstand-gegen-rechts-2500-Menschen-demonstrieren-in-Rostock,aufstehengegenrechts100.html"
Trier,15.01.2024,500.0,,https://www.volksfreund.de/region/trier-trierer-land/trier-500-menschen-demonstrieren-gegen-die-afd_aid-105151053
Tübingen ,15.01.2024,1300.0,2000.0,https://www.tagblatt.de/Nachrichten/Demo-auf-dem-Tuebinger-Holzmarkt-Ueber-1000-laut-gegen-Rechts-616349.html
Bretten,16.01.2024,200.0,,https://www.swr.de/swraktuell/baden-wuerttemberg/karlsruhe/jusos-bretten-gondelsheim-kundgebung-gegen-rechts-hass-hetze-100.html
Hannover-Linden,16.01.2024,8500.0,,https://www.haz.de/lokales/hannover/hannover-gegen-afd-8500-menschen-bei-demonstration-der-omas-gegen-rechts-7BODR23THNCDBHZR7SLCAV7A54.html
Köln,16.01.2024,30000.0,,https://www.tagesschau.de/inland/regional/nordrheinwestfalen/demo-rechtsextremismus-koeln-100.html
Schwerin,16.01.2024,1600.0,,https://www.sueddeutsche.de/politik/demonstrationen-schwerin-schweriner-demonstrieren-fuer-weltoffenheit-und-toleranz-dpa.urn-newsml-dpa-com-20090101-240116-99-638082
Stederdorf (Peine),16.01.2024,500.0,,https://www.braunschweiger-zeitung.de/peine/article241438970/Anti-AfD-Demo-in-Stederdorf-so-ist-es-gelaufen.html
Würzburg,16.01.2024,2500.0,,https://www.mainfranken24.de/aktuelles/news/lokales/wuerzburg-2-500-menschen-demonstrieren-gegen-rechtsextremismus-und-afd
Berlin,17.01.2024,2000.0,3500.0,https://www.tagesspiegel.de/berlin/die-afd-ist-eine-gefahr-fur-uns-alle-bis-zu-3500-menschen-versammeln-sich-vor-dem-roten-rathaus-in-berlin-11068438.html
Freiburg im Breisgau,17.01.2024,7000.0,10000.0,https://www.swr.de/swraktuell/baden-wuerttemberg/suedbaden/freiburg-demo-gegen-rechts-100.html
Meschede,17.01.2024,350.0,,https://www.wp.de/staedte/meschede-und-umland/meschede-nie-wieder-rund-350-menschen-bei-demonstration-id241450652.html
Salzwedel,17.01.2024,120.0,,https://www.volksstimme.de/lokal/salzwedel/afd-demonstration-salzwedel-protest-rechts-mahnwache-remigration-3769184
Castrop-Rauxel,18.01.2024,1500.0,,https://www.castrop-rauxel.de/inhalte/politik_verwaltung/index.php?form=detail&db=325&id=2820
Gera,18.01.2024,250.0,,https://www.n-tv.de/regionales/thueringen/250-Menschen-demonstrieren-gegen-AfD-in-Gera-article24673197.html
Mainz,18.01.2024,5000.0,,https://www.swr.de/swraktuell/rheinland-pfalz/mainz/mainz-demo-gegen-rechtsextremismus-100.html
Bielefeld,19.01.2024,2500.0,6000.0,https://www.die-glocke.de/regionales/artikel/grossdemonstrationen-gegen-afd-in-muenster-und-bielefeld-1705648327
Bochum,19.01.2024,13000.0,,https://www.waz.de/staedte/bochum/demo-gegen-rechts-in-bochum-zeitplan-route-alle-infos-id241456536.html
Dahlenburg,19.01.2024,300.0,,
Detmold,19.01.2024,300.0,400.0,https://www.tagesschau.de/inland/regional/nordrheinwestfalen/wdr-tausende-demonstrieren-in-nrw-gegen-rechtsextremismus-100.html
Erlangen,19.01.2024,4000.0,,"https://www.br.de/nachrichten/bayern/erlangen-4-000-demonstrieren-fuer-afd-verbot,U1nP9eV"
Gummersbach,19.01.2024,400.0,,https://www.oberberg-aktuell.de/lokalmix/die-botschaft-----wir-sind-mehr-----a-99603
Hamburg,19.01.2024,180000.0,,"https://www.ndr.de/nachrichten/hamburg/Grossdemo-gegen-Rechtsextremismus-in-Hamburg-Viel-mehr-Teilnehmer,hamburgstehtauf112.html"
Iserlohn,19.01.2024,400.0,,https://www.ikz-online.de/staedte/iserlohn/demonstration-iserlohn-sagt-deutlich-nein-zu-rassismus-id241462366.html
Jena,19.01.2024,3000.0,10000.0,https://www.thueringen24.de/jena/article300289646/jena-anti-afd-demo-protest-hoecke-wahl-news.html  
Jülich,19.01.2024,700.0,1000.0,https://www.aachener-zeitung.de/lokales/region-dueren/juelich/grosser-zuspruch-fuer-die-demo-gegen-rechts-in-juelich/7418291.html
Kiel,19.01.2024,4000.0,,https://www.kn-online.de/lokales/kiel/demo-in-kiel-protest-gegen-rechtsextremismus-und-afd-plaene-am-freitag-CDOTKG7AUFCV5GTZNR3AEZDLDY.html
Lüdenscheid,19.01.2024,500.0,600.0,https://www.come-on.de/luedenscheid/ueber-600-teilnehmer-bei-demo-gegen-rechts-in-luedenscheid-92786078.html
Minden,19.01.2024,4000.0,,https://www.mt.de/lokales/minden/Demo-gegen-Rechts-im-Live-Ticker-4.000-Menschen-auf-dem-Mindener-Marktplatz-23760570.html
Münster,19.01.2024,20000.0,,https://www.muensterschezeitung.de/lokales/staedte/muenster/12000-setzen-zeichen-gegen-rechtsextremismus-2903556?&npg
Nettetal,19.01.2024,1000.0,,https://www.tagesschau.de/inland/regional/nordrheinwestfalen/wdr-tausende-demonstrieren-in-nrw-gegen-rechtsextremismus-100.html
