Ort,Datum,Breitengrad,Längengrad,Bericht_Link,Mindestangabe Teilnehmerzahl,Höchstangabe Teilnehmerzahl
Berlin,12.01.2024,52.5201616,13.3691247,https://www.tagesspiegel.de/berlin/wir-brauchen-ein-afd-verbot-350-teilnehmer-bei-kundgebung-in-berlin--weitere-demonstration-am-sonntag-11040754.html,350.0,
Darmstadt,12.01.2024,49.872775,8.651177,https://www.fr.de/rhein-main/darmstadt/demonstration-gegen-die-afd-in-darmstadt-92772702.html,500.0,600.0
Hamburg,12.01.2024,53.56242358,10.05945001,https://www.spiegel.de/panorama/gesellschaft/afd-geheimtreffen-rund-2000-menschen-demonstrieren-in-hamburg-gegen-rechts-a-7828dba0-d30d-4426-aa03-66b46cf61b95,1700.0,2500.0
Duisburg,13.01.2024,51.434999,6.76,https://www.rundschau-online.de/politik/demo-gegen-afd-1000-menschen-protestieren-in-duisburg-gegen-neujahrsempfang-718252,2400.0,
Düsseldorf,13.01.2024,51.2254018,6.7763137,https://www1.wdr.de/nachrichten/protest-gegen-afd-debatte-100.html,650.0,
Landau,13.01.2024,49.1982825,8.1123441,"https://www.rheinpfalz.de/lokal/pfalz-ticker_artikel,-nach-afd-geheimtreffen-demo-gegen-rechts-auf-dem-stiftsplatz-_arid,5599692.html",250.0,500.0
Augsburg,14.01.2024,48.3668,10.8986971,https://www.augsburger-allgemeine.de/augsburg/augsburg-anti-afd-demo-auf-dem-rathausplatz-id69084621.html,700.0,
Berlin,14.01.2024,52.5201616,13.3691247,https://www.tagesspiegel.de/berlin/demokratie-verteidigen-kundgebung-gegen-die-afd-am-brandenburger-tor-mit-grossem-zulauf-11049475.html,25000.0,
Dresden,14.01.2024,51.0493286,13.7381437,https://www.dnn.de/lokales/dresden/dd1401-demo-dresden-knapp-2000-menschen-gegen-afd-plaene-auf-der-strasse-IIM5AVNOVFEH3M6G5VV3GVAF5Y.html,1000.0,2000.0
Flensburg,14.01.2024,54.7833021,9.4333264,https://www.shz.de/lokales/flensburg/galerie/bildergalerie-in-der-eiskalten-foerde-500-unerschrockene-beim-baden-ge-46265446,200.0,
Kiel,14.01.2024,54.3227085,10.135555,https://www.zeit.de/news/2024-01/14/tausende-demonstrieren-gegen-afd-und-rechtsextremismus,7000.0,8000.0
Potsdam,14.01.2024,52.4009309,13.0591397,https://www.maz-online.de/lokales/potsdam/nach-geheimtreffen-in-villa-adlon-scholz-baerbock-und-tausende-potsdamer-bei-demo-gegen-rechts-OD3H777OMNE53GWS7Q5DTUB6H4.html,10000.0,
Saarbrücken,14.01.2024,49.234362,6.996379,https://www.sr.de/sr/home/nachrichten/politik_wirtschaft/demos_saarbruecken_gegen_faschismus_100.html,5000.0,
Dessau-Roßlau,15.01.2024,51.8465924,12.2312238,https://www.mz.de/lokal/dessau-rosslau/afd-gegendemo-dessau-nazifrei-protest-parteibuero-remigration-potsdam-3767581,200.0,
Essen,15.01.2024,51.4582235,7.0158171,https://www.radioessen.de/artikel/demo-in-essen-fuer-ein-verbot-der-afd-1874268.html,6700.0,
Leipzig,15.01.2024,51.3406321,12.3747329,https://www.mdr.de/nachrichten/sachsen/leipzig/leipzig-leipzig-land/demo-gegen-afd-rechtsextremismus-100.html,6000.0,10000.0
