event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best
SRB4028,"07 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Farmers (Serbia); Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Macva,Bogatic,,Bogatic,44.8375,19.4805,1,"N1TV Online - Serbia",National,"On 7 February 2025, farmers, students, and local residents gathered in Bogatic to protest against lithium exploitation and to support student-led protests demanding justice and accountability for the victims of the Novi Sad train station collapse. The protest began with the disruption of a scheduled public hearing at the Bogatic Municipal Assembly, which resulted in the cancellation of the hearing on the municipal spatial plan that included provisions for potential lithium mining. Following this, the protesters marched in protest through the town.",0,"crowd size=no report",1739305040,1784,3208,5780,1784
SRB4029,"07 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Nisava,Nis-Medijana,,Nis,43.3234,21.9018,1,"N1TV Online - Serbia",National,"On 7 February 2025, health workers gathered in front of the Health Center in Nis to observe 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims who lost their lives following the collapse of the concrete canopy at the Novi Sad's train station and demand accountability for this tragic event.",0,"crowd size=no report",1739305040,5189,35833,135365,5189
SRB4059,"07 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia); Labor Group (Serbia); Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,"South Backa","Novi Sad",,"Novi Sad",45.2593,19.8291,1,"N1TV Online - Serbia",National,"On 7 February 2025, citizens gathered at various locations in Novi Sad to participate in the 'Serbia, Stop' campaign and pay tribute to 15 people who lost their lives after the canopy collapsed at the railway station in Novi Sad. Protesters also aimed to show support for students who are occupying their faculties, demanding accountability for this tragic event, attributing it to corruption. Employees of the Railway Workers' Health Protection Institute (ZZZZR 'Zeleznice Srbije') gathered in front of their workplace in Novi Sad, alongside bikers, to observe 15 minutes of silence. They additionally protested against the pressures they have been facing from their director for holding these memorial gatherings, with some even facing suspensions for their participation. Health workers and students gathered in front of the Clinical Center of Vojvodina to honor the victims.",0,"crowd size=no report",1739305040,9541,41595,169916,9541
SRB4060,"07 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Lawyers (Serbia); Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Kolubara,Valjevo,,Valjevo,44.272,19.8874,1,"N1TV Online - Serbia",National,"On 7 February 2025, lawyers, alongside high school and university students gathered in Valjevo to demand accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims and demand accountability for their loss of life.",0,"crowd size=no report",1739305040,5855,23076,66513,5855
SRB4120,"07 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Jablanica,Bojnik,,Bojnik,43.0122,21.721,1,"Juzne Vesti",National,"On 7 February 2025, citizens and students gathered in Bojnik to demand accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption. Protesters also observed 17 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims of the Novi Sad's tragedy, as well as the murder of the two individuals from Leskovac and Gornji Brestovac and demand accountability for their loss of life.",0,"crowd size=no report",1739305041,943,2429,5440,943
SRB4121,"07 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Jablanica,Leskovac,,Leskovac,42.9976,21.9445,1,"N1TV Online - Serbia",National,"On 7 February 2025, students and citizens gathered in Leskovac to support students nationwide who are occupying their faculties, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, attributing this tragic event to corruption. As part of the 'Serbia, Stop' campaign, protesters honored the victims from Novi Sad's tragedy, as well as a local murder victim. The silent commemoration was disrupted by a woman who shouted a message of support for the President and then rode away on her bike.",0,"crowd size=no report",1739305041,2615,19331,43500,2615
SRB4122,"07 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,"North Backa",Subotica,,Subotica,46.101,19.6682,1,"N1TV Online - Serbia",National,"On 7 February 2025, citizens, high school and university students gathered in Subotica to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims and demand accountability for their loss of life.",0,"crowd size=no report",1739305041,2521,14944,65157,2521
SRB4126,"07 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia); Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Belgrade,Vracar,,"Belgrade - Vracar",44.7981,20.4772,1,"N1TV Online - Serbia",National,"On 7 February 2025, health workers and students gathered outside the Students' Polyclinic in Belgrade - Vracar to show support for a doctor of this institution who resigned from her position due to pressures she's been facing for publicly supporting student-led protests which are demanding accountability following the tragic loss of 15 lives due to the collapse of a concrete canopy at the train station in Novi Sad, which the protestors attribute to corruption. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims and demand accountability for their loss of life.",0,"crowd size=no report",1739305041,9003,35358,61808,9003
SRB4127,"07 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia); Journalists (Serbia); Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Belgrade,,,Belgrade,44.6916,20.4261,2,"Danas; FoNet; N1TV Online - Serbia",National-Regional,"On 7 February 2025, citizens in Belgrade protested at various locations, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at Novi Sad's railway station, which they attribute to corruption. More than 2,000 people, including students, parents, and schoolchildren, marched from the 'Kralj Petar I Karadordevic' Elementary School to Studentski trg in Belgrade - Stari Grad. Several hundred university and high school students, alongside other citizens, blocked the Pupin Bridge in Belgrade - Zemun for one hour in protest. On the same day, citizens, students, health workers, journalists, employees of Radio Television Serbia (RTS), and activists from the 'The Bridge Stays' initiative gathered at multiple locations across Belgrade, including in front of the RTS and Faculty of Law in Palilula, in the Stepa Stepanovic neighborhood, in Novi Beograd, Dorcol and Zemun. They all participated in the 'Serbia, Stop' campaign to honor the 15 individuals who lost their lives in the railway station canopy collapse in Novi Sad.",0,"crowd size=more than 2,000",1739305041,1777,13861,33117,1777
SRB4135,"07 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Lawyers (Serbia); Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Belgrade,Palilula,,"Belgrade - Palilula",44.8103,20.4744,1,"N1TV Online - Serbia",National,"On 7 February 2025, lawyers and law students held a protest outside the building of Radio Television Serbia (RTS) on Takovska Street in Belgrade - Palilula. They demanded objective reporting and an end to media censorship, accusing state-run media of suppressing information about student-led protests. These protests are calling for accountability following the tragic loss of 15 lives due to the collapse of a concrete canopy at the train station in Novi Sad, which the protestors attribute to corruption.",0,"crowd size=no report",1739305041,27316,37246,76878,27316
