"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"NAWROCKI Karol Tadeusz";"TRZASKOWSKI Rafał Kazimierz"
"dolnośląskie";2354;2354;2119422;2177407;582088;1537278;845;1538123;2915;39623;822;72;3;3;3;741;1537959;734;100;1537859;14336;7676;6660;0;1523523;673218;850305
"kujawsko-pomorskie";1941;1941;1483835;1501949;464779;1019085;586;1019671;2005;24394;556;50;2;1;2;502;1019561;500;51;1019510;8990;4904;4086;0;1010520;470660;539860
"lubelskie";2203;2203;1575452;1567771;484307;1091159;660;1091819;3067;20508;633;42;6;1;1;583;1091688;579;58;1091630;9458;5088;4370;0;1082172;720119;362053
"lubuskie";902;902;720999;731055;233507;487488;292;487780;906;12071;283;29;2;2;1;249;487712;249;18;487694;4235;2180;2055;0;483459;201982;281477
"łódzkie";1944;1944;1805344;1821514;474113;1331264;717;1331981;2618;23346;676;30;7;6;2;631;1331819;631;92;1331727;12518;7094;5424;0;1319209;701859;617350
"małopolskie";2755;2755;2571948;2625479;631197;1940694;1367;1942061;3554;43772;1334;72;7;4;4;1250;1941850;1248;107;1941743;17516;9244;8272;0;1924227;1132733;791494
"mazowieckie";4033;4033;4034071;4152285;816890;3217220;1854;3219074;5359;81810;1748;76;5;2;4;1662;3218671;1660;244;3218427;30412;16626;13786;0;3188015;1585019;1602996
"opolskie";1023;1023;721018;720842;269873;451116;221;451337;860;8174;211;13;1;0;1;196;451319;196;9;451310;3997;2077;1920;0;447313;210321;236992
"podkarpackie";1941;1941;1595343;1594072;488466;1106872;529;1107401;2823;18975;518;21;1;0;0;496;1107325;494;31;1107294;8380;4343;4037;0;1098914;780429;318485
"podlaskie";1074;1074;867233;867625;279428;587802;296;588098;1417;12861;290;14;3;0;1;272;588054;272;31;588023;5114;2677;2437;0;582909;357847;225062
"pomorskie";1736;1736;1711913;1775803;424513;1288423;826;1289249;2061;46011;792;64;6;6;1;716;1289085;714;124;1288961;12413;6558;5855;0;1276548;521725;754823
"śląskie";2886;2886;3216834;3261536;912960;2303873;1894;2305767;4657;43235;1832;92;10;2;8;1721;2305492;1714;118;2305374;21826;12145;9681;0;2283548;1111205;1172343
"świętokrzyskie";1244;1244;924838;921271;288241;636607;307;636914;1546;11904;297;12;1;0;1;283;636863;281;49;636814;5056;2792;2264;0;631758;401863;229895
"warmińsko-mazurskie";1323;1323;1024082;1035396;354255;669825;327;670152;1293;19414;315;16;3;0;2;294;670095;294;57;670038;5758;2856;2902;0;664280;320797;343483
"wielkopolskie";2852;2852;2572477;2633052;687786;1884708;956;1885664;2951;31926;913;56;5;2;1;849;1885490;848;129;1885361;18057;10286;7771;0;1867304;837129;1030175
"zachodniopomorskie";1416;1416;1242496;1254853;378984;863217;445;863662;1794;48853;433;22;5;1;4;403;863553;402;80;863473;7540;3833;3707;0;855933;359267;496666
