country,ISO_code,signed,signature_year,ratified,ratification_year,reservations,denunciation,v2x_libdem_2013,v2x_egaldem_2013,v2x_libdem_2020,v2x_egaldem_2020,v2x_libdem_2021,v2x_egaldem_2021,v2x_genpp_2020,v2x_gender_2020,v2x_cspart_2020,IC,RELP,WEQU,OPPG,RGOV,WOMPOW,EUC,,v2x_libdem_2013,v2x_egaldem_2013,v2csgender_2013,v2x_gender_2013,v2x_cspart_2013,v2x_gencs_2013,v2x_libdem_2017,v2x_egaldem_2017,v2csgender_2017,v2x_gender_2017,v2x_cspart_2017,v2x_gencs_2017,v2x_libdem_2020,v2x_egaldem_2020,v2csgender_2020,v2x_gender_2020,v2x_cspart_2020,v2x_gencs_2020,v2x_genpp_2020,A004,A006,A040,A124_09,C001,D081_N,D081_Y,D059,D060,D061,D078,E023,E025,E026,E027,E028,E033_L,E033_R,E233_N,E233_Y,F025_MAJ,CATH_ORTH_MUSL,F025_PERMAJ,F025_N,F118_N,F118_Y,F120_N,F120_Y,solid_right13,solid_right17,solid_right20,13_name,17_name,20_name,xxWOMACC,IC,DEMBACK,RIGHTGOV,OPPGEN,RELPOW,WOMPOW,WOMEQU,DEMBADr,OPPGENr,EGALDEM,WOMEQUr1,WOMEQUr2,EDEMBACK,genpp_2020
Albania,al,TRUE,2011,TRUE,2013,FALSE,FALSE,0.42,0.37,0.4,0.37,0.4,0.36,0.979,0.91,0.72,1,1,0.33,1,0,0.816,1,,0.42,0.37,1.25,0.83,0.62,0.8,0.43,0.38,1.25,0.85,0.64,0.82,0.4,0.37,1.94,0.91,0.72,0.89,0.979,0.19,0.72,0.18,0.74,0.27,0.78,0.12,0.22,0.03,0.64,0.29,0.3,0.62,0.36,0.45,0.04,0.35,0.34,0.01,0.95,Muslim,1,0.77,0.06,0.83,0.07,0.63,0.04,0,0,0,Berisha II,Rama I,Rama II,0.75,1,-0.02,0,1,1,0.82,0.33,0.4,0.63,0.37,0.64,0.95,0,0.979
Andorra,ad,TRUE,2013,TRUE,2014,TRUE,FALSE,,,,,,,,,,1,1,,,,,0,,,,,,,,,,,,,,,,,,,,,0.31,0.31,0.1,0.05,0.02,0.19,0.51,0.12,0.03,0.38,0.14,0.44,0.83,0.35,0.66,0.52,0.24,0.1,0.02,0.85,Roman Catholic,1,0.64,0.3,0.09,0.67,0.25,0.4,0,0,0,Marti I,Marti I,Espot I,0,1,0,,,1,0,,,0.25,,0.38,0.85,0,
Armenia,am,TRUE,2018,FALSE,,TRUE,FALSE,0.21,0.29,0.6,0.63,0.56,0.6,0.89,0.9,0.75,0.25,1,0,1,0.45,0.823,0,,0.21,0.29,1.83,0.77,0.53,0.85,0.23,0.31,2.53,0.84,0.67,0.91,0.6,0.63,2.53,0.9,0.75,0.94,0.89,0.38,0.83,0.26,0.82,0.57,0.86,0.06,0.68,0.23,0.69,0.63,0.49,0.48,0.32,0.52,0.35,0.34,0.15,0.08,0.51,Orthodox (Russian/Greek/etc.),1,0.87,0.1,0.93,0.01,0.72,0.03,1,1,0,Tigran Sargsyan I,Karapetyan I,Pashinyan II,0.76,0.25,0.39,0.45,1,1,0.82,0,0.6,0.72,0.63,0.69,0.51,0.34,0.89
Austria,at,TRUE,2011,TRUE,2013,FALSE,FALSE,0.8,0.77,0.76,0.76,0.75,0.74,0.999,0.94,0.94,1,1,0.66,0,0,0.9375,0,,0.8,0.77,2.24,0.94,0.96,0.91,0.78,0.75,2.24,0.95,0.96,0.91,0.76,0.76,2.24,0.94,0.94,0.91,0.999,0.51,0.44,0.12,0.12,0.14,0.3,0.56,0.2,0.09,0.5,0.15,0.63,0.83,0.49,0.5,0.26,0.18,0.11,0.04,0.87,Roman Catholic,1,0.63,0.27,0.19,0.51,0.27,0.35,0,1,0,Faymann II,Kurz I,Kurz II,0.95,1,-0.04,0,0,1,0.94,0.66,0.76,0.27,0.76,0.5,0.87,0,0.999
Azerbaijan,az,FALSE,,FALSE,,FALSE,FALSE,0.07,0.14,0.07,0.13,0.06,0.11,0.801,0.63,0.2,0,1,0,1,1,0.4105,0,,0.07,0.14,0.9,0.61,0.22,0.59,0.07,0.13,1.27,0.62,0.23,0.65,0.07,0.13,0.91,0.63,0.2,0.62,0.801,0.39,0.6,0.14,0.9,0.55,0.93,0.02,0.6,0.25,0.62,0.64,0.33,0.26,0.15,0.25,0.07,0.11,0.34,0.12,0.67,Muslim,1,0.94,0.05,0.95,0,0.53,0.08,1,1,1,Aliyev,Aliyev,Aliyev,0.42,0,0,1,1,1,0.41,0,0.07,0.53,0.13,0.62,0.67,-0.02,0.801
Belgium,be,TRUE,2012,TRUE,2016,FALSE,FALSE,0.83,0.83,0.82,0.82,0.82,0.81,0.999,0.95,0.95,1,0,1,0,0,0.95,0,,0.83,0.83,2.49,0.95,0.96,0.89,0.82,0.83,2.49,0.95,0.95,0.89,0.82,0.82,2.49,0.95,0.95,0.89,0.999,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,1,1,Di Rupo I,Michel I,Wilmes I,0.95,1,-0.01,0,0,0,0.95,1,0.82,,0.82,,,-0.01,0.999
Bosnia and Herzegovina,ba,TRUE,2013,TRUE,2013,FALSE,FALSE,0.4,0.43,0.34,0.38,0.35,0.37,0.937,0.82,0.69,1,1,0.33,1,0,0.7585,1,,0.4,0.43,1.84,0.84,0.66,0.85,0.37,0.4,2.04,0.85,0.68,0.85,0.34,0.38,2.41,0.82,0.69,0.88,0.937,0.24,0.81,0.37,0.54,0.38,0.7,0.13,0.29,0.12,0.47,0.24,0.33,0.8,0.57,0.61,0.42,0.23,0.21,0.1,0.82,Muslim,1,0.54,0.03,0.88,0.06,0.6,0.16,0,0,0,Bevanda I,Zvizdi_ I,Tegeltija I,0.77,1,-0.06,0,1,1,0.76,0.33,0.34,0.6,0.38,0.47,0.82,-0.05,0.937
Bulgaria,bg,TRUE,2016,FALSE,,FALSE,FALSE,0.56,0.52,0.49,0.44,0.55,0.49,0.987,0.92,0.81,0.25,1,0.33,0.66,1,0.8645,0,,0.56,0.52,2.44,0.93,0.82,0.94,0.53,0.48,2.44,0.92,0.76,0.94,0.49,0.44,2.44,0.92,0.81,0.94,0.987,0.35,0.61,0.19,0.63,0.28,0.66,0.13,0.43,0.11,0.27,0.36,0.47,0.5,0.23,0.47,0.24,0.22,0.3,0.02,0.88,Orthodox (Russian/Greek/etc.),1,0.58,0.26,0.68,0.06,0.29,0.19,1,1,1,Borisov I,Borisov III,Borisov III,0.84,0.25,-0.07,1,0.66,1,0.86,0.33,0.49,0.29,0.44,0.27,0.88,-0.08,0.987
Croatia,hr,TRUE,2013,TRUE,2018,TRUE,FALSE,0.72,0.67,0.64,0.59,0.63,0.58,0.992,0.9,0.73,0.75,1,0.33,0.66,0,0.814,0,,0.72,0.67,2.11,0.91,0.83,0.88,0.62,0.57,2.11,0.89,0.74,0.87,0.64,0.59,2.11,0.9,0.73,0.88,0.992,0.25,0.61,0.29,0.32,0.19,0.56,0.26,0.16,0.05,0.38,0.1,0.38,0.9,0.67,0.7,0.55,0.23,0.21,0.05,0.84,Roman Catholic,1,0.78,0.21,0.58,0.2,0.45,0.24,0,0,0,Milanovic,Plenkovi_ I,Plenkovi_ I,0.81,0.75,-0.08,0,0.66,1,0.81,0.33,0.64,0.45,0.59,0.38,0.84,-0.08,0.992
Cyprus,cy,TRUE,2015,TRUE,2017,TRUE,FALSE,0.76,0.75,0.72,0.73,0.69,0.73,0.968,0.88,0.88,1,1,0.33,0.66,0,0.8775,0,,0.76,0.75,1.34,0.85,0.93,0.8,0.76,0.76,1.71,0.89,0.89,0.85,0.72,0.73,1.36,0.88,0.88,0.8,0.968,0.35,0.76,0.53,0.45,0.41,0.5,0.21,0.35,0.16,0.51,0.34,0.39,0.7,0.43,0.68,0.6,0.22,0.23,0.03,0.76,Muslim,1,0.5,0.01,0.52,0.12,0.63,0.07,0,1,1,Christofias IV,Anastasiades III,Anastasiades IV,0.89,1,-0.03,0,0.66,1,0.88,0.33,0.72,0.63,0.73,0.51,0.76,-0.01,0.968
